,name,#oe,#ue,#grainy,#blurry,#people_not_ratings
0,blur_dataset/motion0285.jpg,9,10,1,2,5
1,blur_dataset/out_of_focus0294.jpg,8,10,4,5,3
2,blur_dataset/out_of_focus0544.jpg,9,12,1,0,4
3,voc_emotic_ava/AVA__105032.jpg,7,10,2,3,46
4,voc_emotic_ava/AVA__11505.jpg,9,12,1,1,5
5,voc_emotic_ava/AVA__132636.jpg,6,13,2,1,5
6,voc_emotic_ava/AVA__15728.jpg,9,13,1,0,5
7,voc_emotic_ava/AVA__15732.jpg,11,10,1,0,5
8,voc_emotic_ava/AVA__162722.jpg,10,11,0,1,5
9,voc_emotic_ava/AVA__20394.jpg,10,11,0,1,5
10,voc_emotic_ava/AVA__229531.jpg,11,11,3,1,4
11,voc_emotic_ava/AVA__230285.jpg,9,8,4,1,5
12,voc_emotic_ava/AVA__23619.jpg,8,9,1,6,3
13,voc_emotic_ava/AVA__249139.jpg,7,9,4,2,5
14,voc_emotic_ava/AVA__2593.jpg,7,12,3,2,4
15,voc_emotic_ava/AVA__26291.jpg,9,12,0,1,5
16,voc_emotic_ava/AVA__278489.jpg,9,11,2,0,5
17,voc_emotic_ava/AVA__285530.jpg,8,12,2,0,6
18,voc_emotic_ava/AVA__314580.jpg,10,10,0,2,5
19,voc_emotic_ava/AVA__348452.jpg,10,9,2,1,5
20,voc_emotic_ava/AVA__383005.jpg,9,12,0,1,6
21,voc_emotic_ava/AVA__398067.jpg,11,11,1,1,4
22,voc_emotic_ava/AVA__442694.jpg,10,12,1,0,6
23,voc_emotic_ava/AVA__451878.jpg,9,11,4,2,4
24,voc_emotic_ava/AVA__456464.jpg,9,10,4,0,5
25,voc_emotic_ava/AVA__460703.jpg,5,15,1,3,4
26,voc_emotic_ava/AVA__484328.jpg,10,10,2,1,5
27,voc_emotic_ava/AVA__485858.jpg,9,10,4,0,4
28,voc_emotic_ava/AVA__49196.jpg,9,10,4,2,4
29,voc_emotic_ava/AVA__495669.jpg,9,12,2,0,5
30,voc_emotic_ava/AVA__502475.jpg,9,11,3,0,5
31,voc_emotic_ava/AVA__523723.jpg,9,11,1,0,5
32,voc_emotic_ava/AVA__526625.jpg,6,15,2,0,4
33,voc_emotic_ava/AVA__544313.jpg,9,12,1,0,5
34,voc_emotic_ava/AVA__555925.jpg,10,10,3,0,5
35,voc_emotic_ava/AVA__57030.jpg,11,9,2,1,4
36,voc_emotic_ava/AVA__581631.jpg,9,11,1,1,5
37,voc_emotic_ava/AVA__58894.jpg,8,11,5,0,4
38,voc_emotic_ava/AVA__614644.jpg,8,13,1,1,49
39,voc_emotic_ava/AVA__616408.jpg,6,14,2,2,4
40,voc_emotic_ava/AVA__619478.jpg,4,15,6,1,3
41,voc_emotic_ava/AVA__643909.jpg,8,8,7,2,3
42,voc_emotic_ava/AVA__656919.jpg,7,9,5,4,2
43,voc_emotic_ava/AVA__67047.jpg,6,11,2,1,6
44,voc_emotic_ava/AVA__678594.jpg,5,12,5,4,3
45,voc_emotic_ava/AVA__680530.jpg,6,16,3,0,4
46,voc_emotic_ava/AVA__739387.jpg,6,16,3,0,3
47,voc_emotic_ava/AVA__771797.jpg,8,12,2,1,4
48,voc_emotic_ava/AVA__8073.jpg,9,12,2,0,5
49,voc_emotic_ava/AVA__809747.jpg,9,12,1,1,5
50,voc_emotic_ava/AVA__824164.jpg,8,14,5,0,3
51,voc_emotic_ava/AVA__84964.jpg,4,11,5,3,4
52,voc_emotic_ava/AVA__872238.jpg,10,10,2,1,5
53,voc_emotic_ava/AVA__873862.jpg,5,15,3,1,4
54,voc_emotic_ava/AVA__879523.jpg,9,11,3,1,4
55,voc_emotic_ava/AVA__883447.jpg,8,14,1,0,5
56,voc_emotic_ava/AVA__898540.jpg,11,10,2,4,3
